找到的重复片段:
位置 | 长度 | 重复次数 | 是否反向重复
--------------------------------------------------
       1 |      5 |            1 | 是
       2 |      6 |            1 | 是
       3 |      5 |            1 | 是
       4 |      6 |            1 | 是
       5 |      5 |            1 | 是
       8 |      7 |            1 | 是
      10 |      6 |            1 | 是
      19 |      6 |            1 | 是
      20 |      7 |            1 | 是
      21 |      6 |            1 | 是
      22 |      7 |            1 | 是
      23 |      6 |            1 | 是
      25 |      5 |            1 | 是
      28 |      5 |            1 | 是
      36 |      5 |            1 | 是
      38 |      5 |            1 | 是
      39 |      7 |            1 | 是
      40 |      5 |            1 | 是
      44 |      5 |            1 | 是
      46 |      6 |            1 | 是
      47 |      8 |            1 | 是
      48 |      6 |            1 | 是
      50 |      5 |            1 | 是
      52 |      6 |            1 | 是
      54 |      6 |            1 | 是
      56 |      8 |            1 | 是
      58 |      6 |            1 | 是
      59 |      8 |            1 | 是
      60 |      6 |            1 | 是
      62 |      5 |            1 | 是
      65 |      6 |            1 | 是
      67 |      5 |            1 | 是
      69 |      5 |            1 | 是
      71 |      5 |            1 | 是
      75 |      6 |            1 | 是
      77 |      8 |            1 | 是
      79 |      6 |            1 | 是
      81 |      5 |            1 | 是
      83 |      5 |            1 | 是
      84 |      7 |            1 | 是
      85 |      5 |            1 | 是
      87 |      5 |            1 | 是
      89 |      5 |            1 | 是
      90 |     10 |            1 | 是
      91 |      5 |            1 | 是
      92 |      8 |            1 | 是
      93 |      5 |            1 | 是
      94 |      6 |            1 | 是
      95 |      5 |            1 | 是
      99 |      6 |            1 | 是
     101 |      5 |            1 | 是
     102 |      6 |            1 | 是
     103 |      5 |            1 | 是
     104 |      6 |            1 | 是
     105 |      5 |            1 | 是
     106 |      8 |            1 | 是
     107 |      5 |            1 | 是
     108 |      6 |            1 | 是
     109 |      7 |            1 | 是
     110 |      6 |            1 | 是
     111 |      5 |            1 | 是
     115 |      7 |            1 | 是
     117 |      5 |            1 | 是
     119 |      6 |            1 | 是
